tweet_id,user_id,username,text,created_at,retweets,likes,mentions,retweeted_user,quoted_user,followers,account_created,has_media,reply_to,hashtags,vader_text,cleaned_text,sentiment_score
1710444815660523838,1311041536491024384,efrensosa16,@EndWokeness I hear the wall is working pretty good in Israel. But to be fair it is a small country.,2023-10-06 23:59:57+00:00,0,0,[],,,370,Tue Sep 29 20:34:03 +0000 2020,0,,[],I hear the wall is working pretty good in Israel. But to be fair it is a small country.,hear wall working pretty good israel fair small country,0.7184
1710444716272312339,24506246,haaretzcom,"Saudi Arabia will raise oil production in bid for U.S. Congress support for deal, WSJ says https://t.co/Sfhgrc4I6A",2023-10-06 23:59:33+00:00,3,5,[],,,579738,Sun Mar 15 09:43:07 +0000 2009,0,,[],"Saudi Arabia will raise oil production in bid for U.S. Congress support for deal, WSJ says",saudi arabia raise oil production bid u congress support deal wsj says,0.4019
1710444690397381011,1261364911109804032,idrisyounis,"Ibn Mubarak ( رحمه الله ) said: )

A woman from Bani Israel wiped her son’s impurity with a loaf of bread and then she put the bread in a hole so Allah swt brought upon her hunger until she ate that same loaf of bread.

Kitab Al-Zohd (51/2) https://t.co/EmBvOzjhZw",2023-10-06 23:59:27+00:00,0,4,[],,,5081,Fri May 15 18:37:12 +0000 2020,1,,[],"Ibn Mubarak ( رحمه الله ) said: )

A woman from Bani Israel wiped her son’s impurity with a loaf of bread and then she put the bread in a hole so Allah swt brought upon her hunger until she ate that same loaf of bread.

Kitab Al-Zohd (51/2)",ibn mubarak رحمه الله said woman bani israel wiped son impurity loaf bread put bread hole allah swt brought upon hunger ate loaf bread kitab,-0.25
1710444682587566424,1586484339885629440,afridybarack,@ZemmourEric ISRAEL MUST STOP DOING HOLOCAUST AND GENOSIDA TO PALESTINE PEOPLE and start living together in peace to make two states solution with justice for both as semitic people. Israel strong because of JEWS ZIONIST lobby of  America.,2023-10-06 23:59:25+00:00,0,1,[],,,75,Sat Oct 29 22:26:18 +0000 2022,0,,[],ISRAEL MUST STOP DOING HOLOCAUST AND GENOSIDA TO PALESTINE PEOPLE and start living together in peace to make two states solution with justice for both as semitic people. Israel strong because of JEWS ZIONIST lobby of  America.,israel must stop holocaust genosida palestine people start living together peace make two states solution justice semitic people israel strong jews zionist lobby america,0.8647
1710444681761292719,1216788334242160640,borupowell,@kristyjbritt free Palestine all day,2023-10-06 23:59:25+00:00,0,0,[],,,91,Mon Jan 13 18:25:38 +0000 2020,0,,[],free Palestine all day,free palestine day,0.5106
1710444545870082187,3975655100,djwillanjr,"Alkaline - State Of Emergency 
Vybz Kartel - Roun Corna 
Alkaline - Microwave 
All Chronic Law Jahmiel Diss Tracks
Mavado - Brawla 

Hardest Diss tracks post Gaza Gully era 🎯 

Which ones I miss?",2023-10-06 23:58:52+00:00,0,1,[],,,1189,Thu Oct 22 02:52:14 +0000 2015,0,,[],"Alkaline - State Of Emergency 
Vybz Kartel - Roun Corna 
Alkaline - Microwave 
All Chronic Law Jahmiel Diss Tracks
Mavado - Brawla 

Hardest Diss tracks post Gaza Gully era 🎯 

Which ones I miss?",alkaline state emergency vybz kartel roun corna alkaline microwave chronic law jahmiel diss tracks mavado brawla hardest diss tracks post gaza gully era ones miss,-0.4939
1710444509283209481,1500006365523238917,jonkessler20,@John_A_Ridge The bottleneck has always resided at 1600 Pennsylvania. The Pentagon budget is a pretty big slush fund for this kind of thing. Nixon handed Israel ~150 late model aircraft without a single supplemental appropriation bill. https://t.co/z9TTjA6qIU Just had them flown over.,2023-10-06 23:58:44+00:00,0,1,[],,jonkessler20,1133,Sat Mar 05 07:12:56 +0000 2022,0,,[],The bottleneck has always resided at 1600 Pennsylvania. The Pentagon budget is a pretty big slush fund for this kind of thing. Nixon handed Israel ~150 late model aircraft without a single supplemental appropriation bill.  Just had them flown over.,bottleneck always resided pennsylvania pentagon budget pretty big slush fund kind thing nixon handed israel late model aircraft without single supplemental appropriation bill flown,0.4939
1710444396305662104,1586484339885629440,afridybarack,@ZemmourEric The JEWISH ZIONIST lobby also controls America so that the ISRAELI government has been  free from PROSECUTION of a war CRIMINAL. ERICK Zemmour &amp; Vladimir Zelesky are ZIONIST Jewish who always stand with zionist Lobby &amp; Israel,2023-10-06 23:58:17+00:00,0,0,[],,,75,Sat Oct 29 22:26:18 +0000 2022,0,,[],The JEWISH ZIONIST lobby also controls America so that the ISRAELI government has been  free from PROSECUTION of a war CRIMINAL. ERICK Zemmour &amp; Vladimir Zelesky are ZIONIST Jewish who always stand with zionist Lobby &amp; Israel,jewish zionist lobby also controls america israeli government free prosecution war criminal erick zemmour vladimir zelesky zionist jewish always stand zionist lobby israel,-0.8579
1710444395177382398,1458625197930475522,ramalamazilla,"@mikopeled @RobertKennedyJr It's true RFKjr is horrible on the Palestine issue, but in office he would certainly be no worse than any other candidate (except West, but he has 0 chance), and there is at least a possibility he could change. No chance of internal change from any other.",2023-10-06 23:58:16+00:00,0,0,[],,,284,Thu Nov 11 02:40:21 +0000 2021,0,,[],"It's true RFKjr is horrible on the Palestine issue, but in office he would certainly be no worse than any other candidate (except West, but he has 0 chance), and there is at least a possibility he could change. No chance of internal change from any other.",true rfkjr horrible palestine issue office would certainly worse candidate except west chance least possibility could change chance internal change,-0.6705
1710444346309243290,572881301,realreadsreal,"Shalom to the 12 tribes of Israel scattered across the face of the Earth! 🌎🌍

Happy Sabbath to you all!

Let’s keep The Fourth Commandment the GOD of Our Fathers gave us as a sign that we are HIS people! ✊🏾",2023-10-06 23:58:05+00:00,0,2,[],,,2111,Sun May 06 18:11:55 +0000 2012,0,,[],"Shalom to the 12 tribes of Israel scattered across the face of the Earth! 🌎🌍

Happy Sabbath to you all!

Let’s keep The Fourth Commandment the GOD of Our Fathers gave us as a sign that we are HIS people! ✊🏾",shalom tribes israel scattered across face earth happy sabbath let keep fourth commandment god fathers gave us sign people,0.8131
